,average_month_invites,average_week_invites,diff_day_first,diff_day_second,diff_days_mean,diff_days_last,diff_days_prelast,diff_test_date_and_last_invite,end_date_clientstart_median,end_date_clientstart_max-min,difference_median_and_max-min,diff_first_lastdt,diff_between_end_date_and_first_client,clients_per_day,clients_invited_last_30_days,clients_invited_last_60_days,clients_invited_last_90_days,clients_invited_last_180_days,clients_invited_last_270_days,clients_invited_last_365_days,churn
189,1.0,1.0,93.0,-100.0,46.5,93.0,-100.0,230,276,93,-184,0.0,323,161.5,0,0,0,0,1,2,0
192,2.0,1.0,16.0,-100.0,8.0,16.0,-100.0,439,447,16,-431,0.0,455,227.5,0,0,0,0,0,0,0
201,4.0,4.0,0.0,1.0,0.25,0.0,1.0,63,63,1,-63,0.0,64,16.0,0,0,4,4,4,4,0
202,2.0,1.2,11.0,0.0,27.333333333333332,64.0,19.0,191,309,164,-145,-53.0,355,59.166666666666664,0,0,0,0,2,6,0
203,1.2857142857142858,1.125,11.0,84.0,49.55555555555556,195.0,0.0,78,325,446,121,-184.0,524,58.22222222222222,0,0,1,1,1,5,1
206,1.5,1.2,94.0,24.0,37.0,1.0,28.0,23,181,444,262,93.0,467,38.916666666666664,2,3,5,6,8,10,1
210,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,438,438,0,-438,0.0,438,438.0,0,0,0,0,0,0,0
211,1.0,1.0,18.0,63.0,27.8,32.0,26.0,172,230,139,-91,-14.0,311,62.2,0,0,0,1,3,5,1
213,1.0,1.0,209.0,-100.0,104.5,209.0,-100.0,71,175,209,33,0.0,280,140.0,0,0,1,1,1,2,0
219,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,5,5,0,-5,0.0,5,5.0,1,1,1,1,1,1,1
220,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,513,513,0,-513,0.0,513,513.0,0,0,0,0,0,0,0
222,1.0,1.0,2.0,-100.0,1.0,2.0,-100.0,183,184,2,-182,0.0,185,92.5,0,0,0,0,2,2,1
225,5.0,2.619047619047619,0.0,0.0,8.418181818181818,130.0,57.0,36,289,463,174,-130.0,499,9.072727272727272,0,1,1,2,22,37,0
226,1.0,1.0,14.0,62.0,28.166666666666668,22.0,43.0,16,95,169,74,-8.0,185,30.833333333333332,1,2,3,5,6,6,1
232,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,376,376,0,-376,0.0,376,376.0,0,0,0,0,0,0,0
235,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,10,10,0,-10,0.0,10,10.0,1,1,1,1,1,1,0
238,1.5,1.0,3.0,68.0,23.666666666666668,68.0,3.0,337,405,71,-334,-65.0,408,136.0,0,0,0,0,0,1,0
240,2.0,2.0,5.0,-100.0,2.5,5.0,-100.0,94,96,5,-92,0.0,99,49.5,0,0,0,2,2,2,0
242,1.0,1.0,97.0,-100.0,48.5,97.0,-100.0,10,58,97,38,0.0,107,53.5,1,1,1,2,2,2,1
244,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,121,121,0,-121,0.0,121,121.0,0,0,0,1,1,1,0
245,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,417,417,0,-417,0.0,417,417.0,0,0,0,0,0,0,0
247,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,402,402,0,-402,0.0,402,402.0,0,0,0,0,0,0,0
249,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,176,176,0,-176,0.0,176,176.0,0,0,0,1,1,1,0
253,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,195,195,0,-195,0.0,195,195.0,0,0,0,0,1,1,0
255,18.0,4.8,3.0,0.0,1.5416666666666667,0.0,1.0,72,115,111,-5,3.0,183,2.5416666666666665,0,0,11,71,72,72,0
259,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,164,164,0,-164,0.0,164,164.0,0,0,0,1,1,1,0
260,1.0,1.0,73.0,-100.0,36.5,73.0,-100.0,23,59,73,13,0.0,96,48.0,1,1,1,2,2,2,1
262,1.1428571428571428,1.0,22.0,57.0,50.25,70.0,45.0,64,283,402,119,-48.0,466,58.25,0,0,1,3,3,5,1
266,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,88,88,0,-88,0.0,88,88.0,0,0,1,1,1,1,0
268,1.8333333333333333,1.2222222222222223,13.0,8.0,14.272727272727273,45.0,0.0,5,109,157,48,-32.0,162,14.727272727272727,1,4,5,11,11,11,1
271,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,39,39,0,-39,0.0,39,39.0,0,1,1,1,1,1,0
273,2.0,2.0,2.0,-100.0,1.0,2.0,-100.0,79,80,2,-78,0.0,81,40.5,0,0,2,2,2,2,0
275,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,251,251,0,-251,0.0,251,251.0,0,0,0,0,1,1,0
276,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,156,156,0,-156,0.0,156,156.0,0,0,0,1,1,1,0
277,1.0,1.0,279.0,-100.0,139.5,279.0,-100.0,94,233,279,45,0.0,373,186.5,0,0,0,1,1,1,0
279,6.0,3.0,1.0,0.0,1.0,4.0,1.0,18,23,6,-17,-3.0,24,4.0,6,6,6,6,6,6,1
283,1.0,1.0,68.0,69.0,45.666666666666664,69.0,68.0,94,163,137,-26,-1.0,231,77.0,0,0,0,2,3,3,0
285,1.4,1.1666666666666667,13.0,9.0,22.285714285714285,75.0,29.0,276,409,156,-253,-62.0,432,61.714285714285715,0,0,0,0,0,2,0
286,3.4,1.36,2.0,11.0,8.147058823529411,0.0,3.0,12,176,277,100,2.0,289,8.5,4,6,9,18,29,34,1
290,1.5,1.5,1.0,46.0,15.666666666666666,46.0,1.0,96,142,47,-95,-45.0,143,47.666666666666664,0,0,0,3,3,3,0
292,1.0,1.0,18.0,-100.0,9.0,18.0,-100.0,358,367,18,-349,0.0,376,188.0,0,0,0,0,0,1,0
296,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,12,12,0,-12,0.0,12,12.0,1,1,1,1,1,1,1
299,2.0,1.0,8.0,-100.0,4.0,8.0,-100.0,100,104,8,-96,0.0,108,54.0,0,0,0,2,2,2,0
300,1.0,1.0,45.0,11.0,75.85714285714286,314.0,46.0,5,456,531,75,-269.0,536,76.57142857142857,1,1,1,1,1,3,1
303,1.0,1.0,53.0,67.0,55.25,170.0,35.0,15,292,442,149,-117.0,457,57.125,1,1,1,1,3,6,0
305,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,467,467,0,-467,0.0,467,467.0,0,0,0,0,0,0,0
310,2.0,2.0,2.0,-100.0,1.0,2.0,-100.0,121,122,2,-120,0.0,123,61.5,0,0,0,2,2,2,1
312,2.0,1.2,35.0,13.0,26.583333333333332,9.0,58.0,17,268,319,51,26.0,336,28.0,2,2,3,3,8,12,1
315,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,106,106,0,-106,0.0,106,106.0,0,0,0,1,1,1,1
318,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,166,166,0,-166,0.0,166,166.0,0,0,0,1,1,1,0
319,1.0,1.0,55.0,-100.0,27.5,55.0,-100.0,16,43,55,11,0.0,71,35.5,1,1,2,2,2,2,0
322,1.0,1.0,77.0,4.0,32.2,29.0,51.0,11,91,161,70,48.0,172,34.4,1,2,2,5,5,5,0
324,2.5714285714285716,1.2857142857142858,2.0,8.0,9.944444444444445,7.0,3.0,133,217,179,-38,-5.0,312,17.333333333333332,0,0,0,5,13,18,0
329,7.0,1.75,10.0,2.0,2.7142857142857144,5.0,0.0,337,343,19,-324,5.0,356,50.857142857142854,0,0,0,0,0,7,0
331,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,172,172,0,-172,0.0,172,172.0,0,0,0,1,1,1,0
334,2.0,2.0,0.0,-100.0,0.0,0.0,-100.0,29,29,0,-29,0.0,29,14.5,2,2,2,2,2,2,0
336,1.0,1.0,13.0,36.0,16.333333333333332,36.0,13.0,295,331,49,-282,-23.0,344,114.66666666666667,0,0,0,0,0,3,0
338,1.2,1.2,29.0,0.0,24.833333333333332,64.0,36.0,15,125,149,24,-35.0,164,27.333333333333332,1,1,2,6,6,6,1
340,1.0,1.0,36.0,-100.0,18.0,36.0,-100.0,64,82,36,-46,0.0,100,50.0,0,0,1,2,2,2,0
343,1.0,1.0,99.0,-100.0,49.5,99.0,-100.0,210,259,99,-161,0.0,309,154.5,0,0,0,0,1,2,0
344,1.5,1.0588235294117647,10.0,23.0,19.666666666666668,22.0,25.0,22,228,354,126,-12.0,376,20.88888888888889,1,2,4,7,10,16,1
345,1.0,1.0,45.0,-100.0,22.5,45.0,-100.0,25,47,45,-3,0.0,70,35.0,1,1,2,2,2,2,0
348,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,67,67,0,-67,0.0,67,67.0,0,0,1,1,1,1,1
351,1.0,1.0,277.0,-100.0,138.5,277.0,-100.0,10,148,277,128,0.0,287,143.5,1,1,1,1,1,2,0
353,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,439,439,0,-439,0.0,439,439.0,0,0,0,0,0,0,0
354,1.0,1.0,49.0,14.0,34.0,71.0,36.0,15,122,170,48,-22.0,185,37.0,1,1,2,4,5,5,1
356,1.0,1.0,285.0,-100.0,142.5,285.0,-100.0,24,166,285,118,0.0,309,154.5,1,1,1,1,1,2,0
361,1.25,1.0,32.0,49.0,32.8,11.0,72.0,5,88,164,76,21.0,169,33.8,2,2,3,5,5,5,1
364,1.0,1.0,58.0,-100.0,29.0,58.0,-100.0,45,74,58,-16,0.0,103,51.5,0,1,1,2,2,2,1
367,1.0,1.0,60.0,87.0,49.0,87.0,60.0,394,481,147,-334,-27.0,541,180.33333333333334,0,0,0,0,0,0,0
368,1.0,1.0,43.0,6.0,29.125,13.0,25.0,26,160,233,73,30.0,259,32.375,1,2,3,5,8,8,1
371,2.0,1.0,28.0,-100.0,14.0,28.0,-100.0,429,443,28,-415,0.0,457,228.5,0,0,0,0,0,0,0
373,2.2,1.2222222222222223,21.0,21.0,40.09090909090909,23.0,46.0,102,317,441,124,-2.0,543,49.36363636363637,0,0,0,3,4,6,0
375,1.6666666666666667,1.0,16.0,5.0,64.0,234.0,65.0,45,344,320,-24,-218.0,365,73.0,0,1,1,1,1,5,0
380,1.2,1.0,33.0,10.0,73.83333333333333,229.0,1.0,80,395,443,48,-196.0,523,87.16666666666667,0,0,1,1,1,3,0
382,2.875,1.9166666666666667,1.0,35.0,11.478260869565217,3.0,7.0,12,109,264,155,-2.0,276,12.0,4,8,11,16,21,23,0
384,1.6666666666666667,1.0,15.0,55.0,33.4,12.0,85.0,36,133,167,34,3.0,203,40.6,0,2,2,3,5,5,1
390,1.0,1.0,57.0,-100.0,28.5,57.0,-100.0,389,417,57,-361,0.0,446,223.0,0,0,0,0,0,0,0
393,2.0,1.0,74.0,6.0,25.25,21.0,6.0,309,333,101,-232,53.0,410,102.5,0,0,0,0,0,3,1
396,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,402,402,0,-402,0.0,402,402.0,0,0,0,0,0,0,0
397,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,286,286,0,-286,0.0,286,286.0,0,0,0,0,0,1,0
398,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,364,364,0,-364,0.0,364,364.0,0,0,0,0,0,1,0
400,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,232,232,0,-232,0.0,232,232.0,0,0,0,0,1,1,0
404,1.0,1.0,31.0,-100.0,15.5,31.0,-100.0,70,85,31,-55,0.0,101,50.5,0,0,1,2,2,2,0
407,1.3333333333333333,1.0,103.0,298.0,100.5,1.0,298.0,64,214,402,188,102.0,466,116.5,0,0,2,2,2,3,0
408,1.1666666666666667,1.1666666666666667,16.0,0.0,37.285714285714285,77.0,22.0,25,210,261,51,-61.0,286,40.857142857142854,1,1,1,3,6,7,0
409,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,101,101,0,-101,0.0,101,101.0,0,0,0,1,1,1,1
410,1.25,1.0,14.0,39.0,35.2,99.0,24.0,156,279,176,-103,-85.0,332,66.4,0,0,0,1,2,5,1
411,1.0,1.0,49.0,-100.0,24.5,49.0,-100.0,467,491,49,-443,0.0,516,258.0,0,0,0,0,0,0,0
417,1.6666666666666667,1.0,12.0,13.0,10.6,12.0,16.0,10,38,53,15,0.0,63,12.6,2,4,5,5,5,5,1
419,1.25,1.0,8.0,17.0,27.8,21.0,93.0,325,439,139,-300,-13.0,464,92.8,0,0,0,0,0,2,0
420,1.4444444444444444,1.1818181818181819,17.0,36.0,25.46153846153846,26.0,24.0,197,400,331,-69,-9.0,528,40.61538461538461,0,0,0,0,3,6,0
421,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,274,274,0,-274,0.0,274,274.0,0,0,0,0,0,1,0
422,2.0,2.0,97.0,4.0,25.5,1.0,4.0,254,257,102,-155,96.0,356,89.0,0,0,0,0,3,4,1
424,1.0,1.0,118.0,-100.0,59.0,118.0,-100.0,219,278,118,-160,0.0,337,168.5,0,0,0,0,1,2,0
429,1.0,1.0,28.0,27.0,24.666666666666668,37.0,26.0,7,85,148,63,-9.0,155,25.833333333333332,1,2,3,6,6,6,1
431,3.0,1.5,13.0,0.0,4.333333333333333,0.0,13.0,78,78,13,-65,13.0,91,30.333333333333332,0,0,2,3,3,3,1
432,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,326,326,0,-326,0.0,326,326.0,0,0,0,0,0,1,0
439,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,189,189,0,-189,0.0,189,189.0,0,0,0,0,1,1,0
440,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,66,66,0,-66,0.0,66,66.0,0,0,1,1,1,1,1
444,3.090909090909091,1.5454545454545454,9.0,1.0,9.0,47.0,2.0,36,265,306,40,-38.0,342,10.058823529411764,0,1,3,12,17,34,1
450,1.2857142857142858,1.2857142857142858,40.0,1.0,36.888888888888886,0.0,11.0,26,148,332,184,40.0,358,39.77777777777778,2,3,3,5,6,9,1
452,2.0,1.0,12.0,23.0,14.0,10.0,7.0,217,250,84,-166,2.0,301,50.166666666666664,0,0,0,0,4,6,0
461,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,17,17,0,-17,0.0,17,17.0,1,1,1,1,1,1,1
463,1.0,1.0,131.0,-100.0,65.5,131.0,-100.0,205,270,131,-140,0.0,336,168.0,0,0,0,0,1,2,0
464,1.5,1.0,7.0,70.0,25.666666666666668,70.0,7.0,73,143,77,-66,-63.0,150,50.0,0,0,1,3,3,3,0
466,1.0,1.0,29.0,123.0,50.666666666666664,123.0,29.0,130,253,152,-101,-94.0,282,94.0,0,0,0,1,2,3,0
468,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,531,531,0,-531,0.0,531,531.0,0,0,0,0,0,0,0
469,1.0,1.0,63.0,-100.0,31.5,63.0,-100.0,437,468,63,-406,0.0,500,250.0,0,0,0,0,0,0,0
472,1.0,1.0,212.0,-100.0,106.0,212.0,-100.0,125,231,212,-19,0.0,337,168.5,0,0,0,1,1,2,0
473,1.6666666666666667,1.25,0.0,3.0,38.0,105.0,82.0,155,342,190,-152,-105.0,345,69.0,0,0,0,1,2,5,0
474,2.6,1.2380952380952381,5.0,11.0,10.961538461538462,31.0,8.0,32,186,285,98,-26.0,317,12.192307692307692,0,1,5,12,18,26,1
475,1.0,1.0,25.0,43.0,22.666666666666668,43.0,25.0,4,47,68,21,-18.0,72,24.0,1,2,3,3,3,3,1
481,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,65,65,0,-65,0.0,65,65.0,0,0,1,1,1,1,0
484,1.0,1.0,36.0,48.0,28.0,48.0,36.0,382,430,84,-346,-12.0,466,155.33333333333334,0,0,0,0,0,0,0
485,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,19,19,0,-19,0.0,19,19.0,1,1,1,1,1,1,1
487,1.2222222222222223,1.0,14.0,31.0,29.09090909090909,35.0,25.0,36,156,320,164,-21.0,356,32.36363636363637,0,1,2,6,8,11,1
488,1.0,1.0,31.0,49.0,26.666666666666668,49.0,31.0,366,415,80,-335,-18.0,446,148.66666666666666,0,0,0,0,0,0,0
491,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,94,94,0,-94,0.0,94,94.0,0,0,0,1,1,1,0
495,1.0,1.0,7.0,-100.0,3.5,7.0,-100.0,29,32,7,-26,0.0,36,18.0,1,2,2,2,2,2,1
498,1.0,1.0,47.0,163.0,68.0,62.0,163.0,206,349,272,-78,-15.0,478,119.5,0,0,0,0,2,2,0
499,1.5,1.0,9.0,22.0,22.333333333333332,28.0,6.0,411,479,134,-346,-19.0,545,90.83333333333333,0,0,0,0,0,0,0
500,1.0,1.0,216.0,76.0,97.33333333333333,76.0,216.0,199,275,292,17,140.0,491,163.66666666666666,0,0,0,0,1,2,0
