clientbankpartner_pin,client_pin,partner_src_type_ccode,client_start_date,partnerrolestart_date
1932,6001,5,2019-05-27,2019-05-01
126843,6015,1,2020-09-28,2019-05-01
130773,6017,1,2020-11-26,2019-03-01
145608,6041,4,2019-05-22,2019-05-01
270277,6048,4,2020-11-16,2020-04-01
260082,6051,4,2020-10-29,2020-03-01
306238,6056,4,2020-09-06,2020-08-01
233003,6063,4,2020-09-20,2020-04-01
250342,6083,4,2020-05-22,2020-02-01
1887,6093,5,2020-03-26,2019-01-01
186314,6106,4,2019-11-26,2019-10-01
327059,6112,4,2020-08-14,2020-07-01
12443,6119,4,2020-06-27,2020-03-01
248131,6170,1,2020-08-16,2020-02-01
49069,6171,4,2020-11-16,2020-10-01
124682,6204,4,2020-08-15,2019-03-01
3952,6209,5,2019-06-07,2019-02-01
150262,6214,4,2020-07-26,2019-08-01
192525,6217,4,2020-10-13,2019-10-01
2348,6235,5,2019-04-04,2019-03-01
9782,6241,4,2020-05-16,2018-12-01
119469,6248,4,2020-08-07,2020-02-01
4111,6257,5,2020-08-20,2020-08-01
151717,6258,4,2020-05-17,2019-12-01
5042,6272,5,2020-09-14,2020-05-01
156257,6279,4,2019-11-17,2019-06-01
120899,6280,4,2019-10-04,2018-12-01
120741,6281,1,2019-12-21,2018-12-01
6781,6296,4,2020-10-24,2020-06-23
120741,6299,1,2019-11-05,2018-12-01
8122,6305,4,2020-03-20,2019-07-01
169627,6321,4,2019-11-26,2019-08-01
126843,6327,1,2020-06-20,2019-05-01
211615,6333,4,2020-07-19,2019-11-01
8522,6341,4,2020-04-04,2019-10-01
123800,6343,4,2020-10-11,2019-05-01
120715,6344,4,2020-05-28,2018-12-01
125271,6351,4,2020-07-27,2019-02-01
1147,6352,5,2020-11-15,2019-08-01
644,6357,5,2020-11-15,2020-08-01
8772,6359,4,2020-06-09,2020-01-01
167312,6362,4,2020-01-27,2019-08-01
6853,6364,4,2019-11-25,2019-09-01
187680,6365,1,2020-04-25,2019-10-01
120741,6373,1,2020-06-27,2018-12-01
118021,6384,4,2020-05-24,2020-02-01
157415,6385,4,2020-10-04,2019-10-01
309405,6397,4,2020-09-29,2020-09-01
3795,6401,5,2020-08-14,2019-10-01
3652,6443,5,2020-02-11,2019-08-01
164540,6445,4,2020-11-30,2019-09-01
4043,6452,5,2020-09-13,2019-09-01
124414,6465,1,2019-04-20,2019-03-01
1799,6472,5,2019-10-13,2019-09-01
213854,6486,4,2020-08-12,2019-12-01
138675,6492,1,2019-12-17,2019-05-01
146785,6502,4,2020-07-16,2019-08-01
299334,6504,4,2020-08-07,2020-05-01
1499,6505,5,2020-01-30,2019-02-01
73343,6506,1,2020-11-30,2020-11-01
211688,6509,4,2020-11-17,2019-11-01
4487,6513,5,2020-05-10,2019-11-01
170987,6518,4,2019-09-30,2019-08-01
344,6519,5,2020-07-19,2019-08-01
743,6532,5,2019-06-10,2019-02-01
4094,6537,5,2019-10-20,2019-04-01
173423,6555,4,2020-08-16,2019-08-01
3014,6571,5,2020-10-11,2020-02-01
152678,6581,4,2020-01-16,2019-12-01
167939,6582,4,2020-01-27,2019-11-01
244701,6587,4,2020-09-21,2020-05-01
312365,6588,4,2020-07-19,2020-06-01
3945,6592,5,2020-03-28,2019-04-01
126843,6593,1,2020-02-29,2019-05-01
6781,6596,4,2020-10-27,2020-06-23
3199,6603,5,2019-09-17,2019-06-01
4071,6604,5,2020-04-26,2019-04-01
152678,6612,4,2020-05-03,2019-12-01
126843,6634,1,2019-06-06,2019-05-01
310757,6651,1,2020-10-28,2020-06-01
181714,6652,4,2020-10-27,2020-10-01
125209,6659,4,2019-12-03,2019-02-01
120402,6666,4,2020-05-21,2019-05-01
12163,6679,4,2019-12-23,2019-06-01
123986,6682,4,2020-10-12,2019-10-01
211225,6683,4,2020-03-23,2019-11-01
45724,6688,4,2020-11-19,2020-10-01
169627,6695,4,2020-09-15,2019-08-01
120741,6705,1,2020-04-03,2018-12-01
119117,6710,4,2020-11-16,2019-09-01
147430,6714,1,2020-08-21,2019-05-01
229262,6719,4,2020-06-20,2020-01-01
173551,6740,4,2020-05-08,2019-09-01
126826,6742,4,2020-03-07,2019-04-01
3526,6744,5,2019-09-01,2019-08-01
6828,6746,1,2019-09-23,2019-05-01
147804,6753,4,2019-06-22,2019-05-01
8698,6760,1,2019-12-30,2019-09-01
225583,6764,4,2020-02-10,2020-02-01
164671,6778,4,2020-04-27,2019-08-01
242831,6779,4,2020-06-16,2020-01-01
2702,6796,5,2020-11-05,2020-05-01
14576,6803,1,2020-04-18,2019-06-01
288381,6811,4,2020-10-13,2020-05-01
1887,6814,5,2020-09-01,2019-01-01
3945,6849,5,2019-07-19,2019-04-01
4591,6850,5,2020-10-28,2020-03-01
147275,6853,4,2019-07-19,2019-05-01
39630,6858,4,2020-09-09,2020-09-01
167618,6865,4,2020-11-15,2020-03-01
151681,6866,4,2020-07-23,2019-07-01
126843,6873,1,2020-02-17,2019-05-01
117955,6894,4,2019-12-17,2019-05-01
129959,6907,4,2020-06-13,2019-05-01
289478,6909,4,2020-07-12,2020-07-01
170389,6915,4,2020-08-21,2019-08-01
2730,6916,5,2020-11-26,2020-11-01
122021,6924,1,2019-04-06,2019-03-01
125541,6929,1,2019-11-13,2019-02-01
2378,6930,5,2020-06-05,2020-01-01
123986,6935,4,2020-09-09,2019-10-01
1636,6945,5,2020-09-30,2020-08-01
1389,6949,5,2020-09-06,2020-07-01
4661,6950,5,2020-09-28,2019-11-01
122016,6960,1,2020-05-30,2019-01-01
1328,6963,5,2019-12-15,2019-02-01
123986,6967,4,2020-09-02,2019-10-01
1185,6981,5,2020-10-07,2020-09-01
121576,6990,4,2020-10-07,2019-09-01
199650,6998,4,2020-05-01,2019-12-01
169428,7013,4,2020-11-26,2019-09-01
130085,7017,4,2020-06-21,2019-04-01
474,7044,5,2020-02-03,2019-09-01
1138,7049,5,2020-07-27,2019-10-01
123986,7052,4,2020-06-15,2019-10-01
229262,7054,4,2020-06-21,2020-01-01
198123,7057,1,2019-11-06,2019-10-01
227419,7060,4,2020-05-28,2020-01-01
8698,7063,1,2020-02-02,2019-09-01
10270,7064,1,2019-11-11,2019-02-01
3727,7066,5,2020-10-17,2020-01-01
229262,7068,4,2020-06-20,2020-01-01
258552,7077,4,2020-03-12,2020-03-01
7082,7082,4,2019-12-03,2019-12-01
134717,7086,4,2020-05-14,2020-01-01
332979,7087,4,2020-10-20,2020-07-01
139168,7088,4,2020-01-19,2019-06-01
117955,7089,4,2020-01-15,2019-05-01
117648,7091,4,2020-09-28,2019-09-01
123986,7117,4,2020-11-10,2019-10-01
215381,7119,1,2020-08-13,2020-03-01
120247,7129,4,2020-11-19,2020-10-01
2140,7131,5,2020-08-16,2019-05-01
145228,7140,4,2020-06-20,2019-05-01
126843,7142,1,2019-12-03,2019-05-01
287116,7144,4,2020-09-02,2020-06-01
3199,7157,5,2019-09-23,2019-06-01
8698,7168,1,2020-03-29,2019-09-01
3898,7181,5,2020-06-29,2019-01-01
311805,7184,4,2020-09-07,2020-06-01
2288,7195,5,2020-08-13,2020-01-01
2288,7203,5,2020-03-10,2020-01-01
126843,7210,1,2019-12-22,2019-05-01
138675,7213,1,2020-09-29,2019-05-01
244755,7215,4,2020-06-30,2020-02-01
4710,7221,5,2020-03-08,2020-01-01
120741,7224,1,2019-09-05,2018-12-01
2967,7241,5,2020-10-03,2019-06-01
211225,7247,4,2020-09-13,2019-11-01
211225,7248,4,2020-07-18,2019-11-01
167940,7249,4,2020-10-13,2019-07-01
183362,7256,1,2020-05-17,2019-09-01
235287,7262,4,2020-04-18,2020-01-01
169627,7269,4,2020-06-28,2019-08-01
882,7273,5,2020-09-30,2020-09-01
164540,7282,4,2020-11-12,2019-09-01
255727,7286,4,2020-10-03,2020-09-01
271409,7289,4,2020-07-20,2020-03-01
9264,7295,4,2020-10-27,2019-08-01
4054,7307,5,2020-11-16,2019-06-01
118406,7312,4,2020-09-24,2020-02-01
263758,7313,4,2020-10-12,2020-10-01
328966,7322,4,2020-09-16,2020-07-01
192512,7323,4,2019-10-01,2019-09-01
183362,7334,1,2020-05-10,2019-09-01
117528,7342,4,2019-10-19,2019-04-01
137599,7344,4,2020-10-26,2020-04-01
263758,7345,4,2020-10-06,2020-10-01
195511,7359,4,2019-10-19,2019-10-01
4110,7361,5,2020-09-27,2019-05-01
270277,7365,4,2020-06-27,2020-04-01
144372,7367,4,2020-09-22,2019-06-01
4800,7369,5,2020-10-06,2020-01-01
4639,7377,5,2020-06-28,2020-03-01
120947,7392,4,2019-05-01,2019-02-01
123986,7397,4,2020-09-10,2019-10-01
122532,7401,1,2019-12-24,2019-04-01
270277,7403,4,2020-10-26,2020-04-01
10090,7409,4,2020-02-29,2019-10-01
147275,7412,4,2020-06-01,2019-05-01
31690,7416,4,2020-09-22,2020-09-01
126197,7424,4,2020-07-25,2019-07-01
331937,7427,4,2020-08-10,2020-07-01
43335,7448,1,2020-11-16,2020-10-01
277514,7457,4,2020-09-28,2020-04-01
3952,7460,5,2019-06-10,2019-02-01
164540,7466,4,2020-11-30,2019-09-01
4394,7482,5,2019-12-23,2019-08-01
129786,7488,4,2020-10-10,2020-10-01
7272,7513,4,2020-11-11,2020-10-01
126843,7515,1,2020-04-24,2019-05-01
4928,7520,5,2020-05-11,2020-03-01
202163,7524,4,2020-06-09,2020-01-01
2024,7531,5,2019-10-27,2019-02-01
368,7532,5,2020-10-17,2019-10-01
319602,7535,4,2020-09-07,2020-07-01
4922,7536,5,2020-09-22,2020-03-01
118214,7553,4,2020-10-13,2019-04-01
2838,7559,5,2020-11-30,2019-04-01
35,7575,5,2019-05-15,2018-12-01
14155,7579,1,2020-02-29,2019-02-01
8065,7603,1,2020-06-24,2019-01-01
211225,7615,4,2020-02-24,2019-11-01
281904,7618,1,2020-08-09,2020-05-01
129703,7627,4,2019-07-19,2019-04-01
169627,7630,4,2019-12-30,2019-08-01
6581,7640,4,2019-12-07,2019-07-01
198123,7645,1,2019-10-26,2019-10-01
599,7647,5,2020-04-13,2020-02-01
1147,7655,5,2020-04-21,2019-08-01
6581,7660,4,2019-08-11,2019-07-01
1544,7662,5,2020-10-25,2019-08-01
5210,7665,5,2020-09-22,2020-09-01
125581,7668,1,2019-12-07,2019-03-01
236568,7669,4,2020-03-12,2020-02-01
123986,7688,4,2020-10-21,2019-10-01
4285,7715,5,2019-07-19,2019-07-01
1544,7719,5,2020-03-13,2019-08-01
123986,7720,4,2020-10-19,2019-10-01
7641,7724,4,2020-10-25,2019-10-01
120953,7725,4,2019-04-21,2018-12-01
8698,7735,1,2020-01-28,2019-09-01
126843,7737,1,2020-02-22,2019-05-01
4922,7741,5,2020-09-23,2020-03-01
277514,7743,4,2020-09-30,2020-04-01
3778,7747,5,2020-07-19,2019-04-01
15314,7753,4,2020-10-04,2020-06-01
3514,7760,5,2020-02-19,2020-02-01
196543,7769,4,2020-10-15,2019-10-01
217007,7769,4,2020-02-29,2020-01-01
3147,7783,5,2019-10-27,2019-09-01
123986,7784,4,2020-02-29,2019-10-01
3898,7791,5,2019-12-28,2019-01-01
290632,7805,4,2020-09-21,2020-08-01
270277,7810,4,2020-11-23,2020-04-01
123986,7823,4,2020-07-21,2019-10-01
123986,7826,4,2020-08-22,2019-10-01
120741,7831,1,2020-10-21,2018-12-01
3526,7835,5,2019-12-23,2019-08-01
4591,7839,5,2020-08-14,2020-03-01
182867,7843,4,2020-11-30,2020-11-01
124475,7846,4,2020-08-02,2019-08-01
169627,7855,4,2020-01-21,2019-08-01
4057,7861,5,2019-09-05,2019-05-01
1756,7866,5,2020-09-28,2020-03-01
9651,7868,1,2020-11-12,2020-06-01
8256,7869,1,2020-10-25,2020-07-01
126843,7873,1,2020-10-19,2019-05-01
135173,7876,1,2020-08-11,2019-04-01
2024,7877,5,2020-10-26,2019-02-01
118459,7880,4,2019-08-17,2019-03-01
119679,7882,1,2019-03-21,2019-02-01
249018,7885,4,2020-09-15,2020-02-01
161378,7888,1,2020-08-09,2019-08-01
117648,7889,4,2019-09-14,2019-09-01
5462,7896,4,2020-03-12,2020-02-01
875,7903,5,2020-11-10,2019-05-01
120953,7910,4,2020-04-28,2018-12-01
2469,7911,5,2020-06-09,2020-02-01
147816,7915,1,2019-10-12,2019-05-01
203965,7920,4,2020-03-29,2019-11-01
599,7921,5,2020-05-02,2020-02-01
136737,7922,4,2020-01-29,2019-04-01
273855,7923,4,2020-04-14,2020-03-01
121431,7958,1,2019-12-07,2019-02-01
4500,7968,5,2020-05-24,2019-11-01
1187,7970,5,2020-09-17,2020-07-01
128,7981,5,2020-11-24,2020-10-01
118214,7985,4,2020-01-06,2019-04-01
117608,7986,4,2020-02-11,2019-11-01
169627,7995,4,2019-12-16,2019-08-01
240184,8009,1,2020-06-27,2020-03-01
806,8013,5,2019-08-04,2019-08-01
1087,8018,5,2019-09-18,2019-05-01
282630,8022,4,2020-11-22,2020-09-01
121113,8025,1,2020-05-23,2018-12-01
173025,8027,4,2019-11-14,2019-08-01
47376,8037,4,2020-10-14,2020-09-01
1250,8040,5,2020-06-23,2020-04-01
121486,8041,1,2020-10-12,2019-08-01
159,8062,5,2019-04-21,2019-04-01
256674,8072,4,2020-05-17,2020-02-01
14755,8074,4,2020-09-01,2019-11-01
212394,8093,4,2020-09-06,2020-04-01
118459,8102,4,2020-11-10,2019-03-01
169627,8110,4,2019-12-22,2019-08-01
191910,8113,4,2020-06-30,2019-09-01
192251,8122,4,2020-01-28,2019-10-01
129703,8123,4,2020-01-15,2019-04-01
151312,8126,4,2020-10-21,2020-04-01
3966,8132,5,2020-05-09,2020-05-01
126843,8145,1,2020-10-24,2019-05-01
2780,8163,5,2020-09-15,2020-07-01
184967,8173,4,2020-01-07,2019-09-01
121522,8175,4,2020-06-15,2019-02-01
147430,8180,1,2020-01-21,2019-05-01
169627,8182,4,2019-11-13,2019-08-01
582,8190,5,2020-04-29,2019-12-01
17200,8198,4,2020-09-03,2020-08-01
296434,8203,4,2020-09-14,2020-05-01
225342,8204,4,2020-11-17,2020-10-01
309743,8216,1,2020-07-19,2020-06-01
4699,8217,5,2020-10-12,2019-12-01
4054,8223,5,2020-08-17,2019-06-01
119062,8224,4,2020-09-30,2019-06-01
5244,8225,5,2020-10-24,2020-10-01
6554,8228,1,2020-04-11,2019-05-01
220629,8229,4,2020-09-20,2020-03-01
191985,8236,4,2019-11-27,2019-10-01
126843,8237,1,2019-11-20,2019-05-01
125282,8238,1,2020-11-17,2019-05-01
4634,8255,5,2020-05-18,2019-11-01
354,8260,5,2020-11-19,2020-02-01
149831,8261,4,2020-11-18,2019-12-01
993,8270,5,2020-09-10,2018-12-01
120741,8275,1,2020-10-12,2018-12-01
4973,8277,5,2020-04-26,2020-04-01
7082,8278,4,2020-02-04,2019-12-01
2459,8279,5,2020-03-29,2020-02-01
121308,8287,4,2020-05-15,2018-12-01
55609,8289,4,2020-10-30,2020-10-01
327059,8294,4,2020-08-21,2020-07-01
4074,8300,5,2019-11-24,2019-09-01
270891,8308,4,2020-10-10,2020-03-01
127486,8311,1,2019-06-18,2019-05-01
123800,8327,4,2020-06-14,2019-05-01
73343,8331,1,2020-11-25,2020-11-01
168696,8336,4,2020-07-13,2020-04-01
170987,8343,4,2020-08-08,2019-08-01
173025,8349,4,2020-02-17,2019-08-01
4102,8353,5,2020-06-13,2019-06-01
2480,8377,5,2020-08-07,2020-08-01
2348,8381,5,2019-05-26,2019-03-01
210007,8383,4,2020-08-22,2020-02-01
253339,8437,4,2020-05-16,2020-04-01
120229,8450,1,2020-08-28,2020-02-01
117608,8452,4,2020-05-30,2019-11-01
1633,8458,5,2020-06-22,2020-06-01
185398,8463,4,2020-04-28,2019-09-01
121691,8475,4,2020-04-30,2019-01-01
218269,8490,4,2020-03-30,2019-12-01
6853,8499,4,2019-12-20,2019-09-01
223317,8504,4,2020-07-18,2019-12-01
4468,8507,5,2020-10-26,2020-06-01
119908,8513,4,2020-05-07,2019-06-01
7486,8517,1,2019-10-14,2019-01-01
120050,8518,4,2020-11-19,2020-03-01
4171,8520,5,2020-08-02,2019-05-01
173025,8521,4,2020-03-23,2019-08-01
118496,8524,4,2020-02-05,2020-01-01
12397,8534,4,2020-09-30,2020-09-01
173025,8541,4,2020-02-17,2019-08-01
5941,8545,4,2020-10-26,2020-05-01
7486,8546,1,2020-02-24,2019-01-01
503,8548,5,2019-10-15,2019-06-01
5468,8552,4,2020-09-23,2020-07-01
167952,8557,4,2020-05-08,2019-11-01
2176,8567,5,2020-10-26,2019-09-01
1376,8572,5,2020-11-29,2020-08-01
1376,8572,5,2020-08-10,2020-08-01
13869,8573,4,2019-07-28,2019-07-01
2398,8589,5,2019-08-21,2019-07-01
2464,8596,5,2020-10-19,2019-12-01
275684,8612,4,2020-05-25,2020-04-01
133231,8614,4,2020-03-30,2019-04-01
228803,8617,4,2020-11-29,2020-04-01
10881,8620,4,2020-04-07,2019-08-01
120741,8628,1,2019-06-07,2018-12-01
263758,8629,4,2020-10-10,2020-10-01
4129,8635,5,2020-11-24,2019-10-01
5550,8636,4,2020-01-23,2019-10-01
121908,8640,1,2019-10-13,2019-02-01
6853,8642,4,2020-01-01,2019-09-01
3995,8645,5,2020-03-06,2019-08-01
229262,8652,4,2020-06-13,2020-01-01
126843,8653,1,2019-12-21,2019-05-01
118435,8656,4,2020-08-09,2020-02-01
207183,8659,4,2020-04-25,2020-04-01
120448,8662,4,2020-06-14,2020-06-01
169627,8663,4,2020-01-26,2019-08-01
1887,8687,5,2019-05-26,2019-01-01
252921,8695,4,2020-09-07,2020-03-01
165665,8708,4,2020-07-25,2019-09-01
20765,8710,4,2020-10-05,2020-08-01
3348,8718,5,2020-04-12,2019-10-01
1233,8723,5,2019-12-14,2019-11-01
3898,8727,5,2019-06-22,2019-01-01
121691,8728,4,2020-03-20,2019-01-01
5727,8735,4,2020-11-18,2020-09-01
123986,8740,4,2020-09-29,2019-10-01
5057,8742,5,2020-09-03,2020-05-01
121729,8792,1,2020-02-08,2019-01-01
184967,8805,4,2020-01-04,2019-09-01
120050,8814,4,2020-10-27,2020-03-01
4661,8823,5,2020-01-05,2019-11-01
4361,8834,5,2019-09-11,2019-08-01
1174,8846,5,2020-02-29,2019-02-01
263758,8848,4,2020-10-20,2020-10-01
118709,8849,4,2020-06-05,2019-08-01
4057,8852,5,2019-07-11,2019-05-01
2260,8866,5,2020-07-30,2020-06-01
180070,8877,4,2019-12-03,2019-09-01
132316,8884,4,2020-07-26,2019-04-01
126843,8898,1,2020-07-27,2019-05-01
300737,8903,4,2020-11-26,2020-05-01
255622,8908,4,2020-10-03,2020-04-01
4129,8909,5,2020-03-30,2019-10-01
118923,8911,4,2020-07-24,2020-06-01
125583,8935,4,2020-02-02,2019-02-01
12511,8937,4,2019-08-24,2019-01-01
136295,8944,4,2020-08-17,2019-04-01
23628,8946,4,2020-10-05,2020-08-01
2266,8955,5,2020-01-15,2019-12-01
199454,8961,4,2020-07-19,2019-11-01
119908,8963,4,2019-06-27,2019-06-01
164671,8967,4,2020-03-01,2019-08-01
9762,8981,4,2020-09-16,2020-05-01
2050,9009,5,2020-06-12,2019-04-01
14155,9018,1,2020-02-02,2019-02-01
16638,9024,4,2020-08-21,2020-08-01
3898,9038,5,2019-05-10,2019-01-01
211225,9041,4,2019-12-11,2019-11-01
203319,9047,4,2020-07-16,2019-10-01
27573,9048,4,2020-09-02,2020-08-01
4561,9061,5,2020-09-13,2020-02-01
126843,9066,1,2020-04-18,2019-05-01
170639,9080,4,2020-08-10,2019-08-01
213896,9081,1,2020-02-08,2020-01-01
3805,9085,5,2020-07-31,2019-08-01
3805,9085,5,2019-08-18,2019-08-01
276484,9092,1,2020-07-13,2020-04-01
7437,9096,1,2020-10-13,2019-12-01
808,9098,5,2020-08-02,2020-07-01
6620,9100,4,2019-10-01,2019-07-01
121518,9102,1,2019-04-20,2019-02-01
165665,9125,4,2020-10-06,2019-09-01
117955,9131,4,2020-06-14,2019-05-01
2346,9133,5,2020-07-20,2020-04-01
258415,9136,4,2020-03-01,2020-02-01
322851,9157,4,2020-10-20,2020-08-01
136826,9164,4,2019-12-20,2019-04-01
3515,9194,5,2020-06-14,2020-06-01
196946,9200,4,2020-06-23,2019-11-01
121715,9203,1,2020-06-16,2019-01-01
121535,9215,1,2019-06-01,2018-12-01
258057,9247,4,2020-11-17,2020-03-01
236304,9251,4,2020-09-13,2020-02-01
218269,9252,4,2020-02-02,2019-12-01
164671,9267,4,2019-12-17,2019-08-01
121346,9271,4,2019-04-14,2019-01-01
118400,9284,4,2019-10-12,2019-09-01
10861,9285,4,2019-10-25,2019-10-01
227730,9286,4,2020-06-16,2020-04-01
1887,9293,5,2019-11-06,2019-01-01
134638,9300,4,2019-04-07,2019-04-01
14144,9301,4,2020-04-06,2019-04-01
20634,9310,4,2020-11-26,2020-10-01
7988,9316,4,2020-07-10,2019-07-01
149812,9344,4,2020-08-28,2019-06-01
2464,9352,5,2020-04-07,2019-12-01
274166,9359,4,2020-07-20,2020-04-01
120741,9362,1,2020-01-05,2018-12-01
118518,9370,1,2020-02-03,2019-10-01
121390,9376,4,2020-04-30,2019-02-01
121390,9376,4,2019-06-24,2019-02-01
2953,9381,5,2019-09-30,2019-06-01
199188,9388,4,2020-10-11,2019-10-01
129162,9392,4,2020-09-28,2019-04-01
9397,9397,4,2020-10-17,2019-08-01
4071,9415,5,2020-03-20,2019-04-01
18385,9417,4,2020-10-19,2020-08-01
123986,9419,4,2020-11-24,2019-10-01
3716,9432,5,2020-10-06,2019-03-01
275542,9442,4,2020-09-30,2020-04-01
1887,9453,5,2020-01-22,2019-01-01
190601,9463,4,2020-06-28,2019-09-01
236027,9470,4,2020-02-29,2020-01-01
3199,9484,5,2019-08-18,2019-06-01
235018,9486,4,2020-11-19,2020-07-01
124475,9519,4,2020-09-30,2019-08-01
218269,9524,4,2020-06-09,2019-12-01
175677,9533,4,2020-06-12,2019-09-01
191913,9543,1,2020-10-11,2019-10-01
4835,9557,5,2020-11-19,2020-08-01
128055,9557,4,2020-02-24,2019-05-01
327059,9566,4,2020-11-17,2020-07-01
3612,9579,5,2020-02-18,2019-10-01
122034,9580,4,2020-09-22,2019-01-01
123986,9600,4,2020-06-07,2019-10-01
4452,9604,5,2020-06-06,2019-09-01
168,9605,5,2020-05-25,2020-04-01
1887,9607,5,2019-04-25,2019-01-01
6853,9612,4,2020-02-23,2019-09-01
495,9622,5,2020-08-03,2020-07-01
223,9648,5,2020-11-23,2020-10-01
5124,9654,5,2020-10-11,2020-10-01
176253,9655,4,2020-01-20,2019-09-01
125282,9658,1,2020-02-10,2019-05-01
15669,9662,1,2020-11-17,2020-09-01
120899,9670,4,2020-09-01,2018-12-01
173375,9673,4,2020-03-21,2020-03-01
4922,9683,5,2020-08-16,2020-03-01
185398,9687,4,2020-05-22,2019-09-01
2024,9693,5,2020-05-14,2019-02-01
121029,9695,4,2020-03-30,2019-12-01
169627,9697,4,2020-11-11,2019-08-01
176253,9700,4,2020-01-26,2019-09-01
176253,9706,4,2020-02-26,2019-09-01
6853,9720,4,2019-12-16,2019-09-01
149812,9730,4,2019-09-25,2019-06-01
129601,9734,4,2019-05-30,2019-04-01
117608,9736,4,2020-03-19,2019-11-01
129601,9737,4,2019-05-30,2019-04-01
140807,9739,4,2020-09-30,2020-09-01
7642,9745,1,2020-03-24,2019-05-01
4961,9748,5,2020-11-18,2020-08-01
23628,9749,4,2020-11-12,2020-08-01
263989,9753,4,2020-11-04,2020-03-01
238408,9753,4,2020-04-24,2020-01-01
229855,9761,4,2020-07-13,2019-12-01
13706,9764,4,2020-09-02,2019-09-01
6853,9767,4,2019-12-24,2019-09-01
126843,9773,1,2019-06-03,2019-05-01
12640,9783,4,2020-10-28,2020-08-01
125665,9787,4,2019-06-03,2019-03-01
1107,9789,5,2020-11-05,2020-09-01
280378,9793,4,2020-11-22,2020-10-01
3898,9795,5,2020-10-12,2019-01-01
121532,9798,4,2020-01-28,2019-05-01
4973,9799,5,2020-05-30,2020-04-01
126843,9801,1,2020-02-09,2019-05-01
229855,9807,4,2020-06-20,2019-12-01
125131,9817,1,2019-06-09,2019-02-01
121579,9819,4,2020-05-23,2018-12-01
2623,9828,5,2020-09-21,2019-08-01
121908,9838,1,2020-11-29,2019-02-01
6853,9841,4,2019-12-03,2019-09-01
320308,9843,4,2020-11-26,2020-07-01
164671,9846,4,2019-11-05,2019-08-01
4776,9852,5,2020-05-14,2020-04-01
136777,9854,1,2020-04-19,2019-04-01
